0
1
17
93
# Vertex weights
0 65
1 2
2 23
3 93
4 54
5 45
6 19
7 61
8 38
9 56
10 14
11 9
12 93
13 59
14 38
15 91
16 39
# Edges
0 1
0 4
0 5
0 7
0 8
0 10
0 11
0 12
0 13
0 14
0 16
1 2
1 4
1 5
1 6
1 7
1 9
1 10
1 11
1 12
1 13
1 16
2 4
2 5
2 9
2 10
2 13
2 16
3 4
3 5
3 6
3 7
3 9
3 10
3 11
3 13
3 14
3 15
4 5
4 6
4 7
4 8
4 11
4 14
4 15
4 16
5 6
5 8
5 9
5 12
5 13
5 14
5 16
6 8
6 10
6 11
6 12
6 13
6 14
6 15
6 16
7 9
7 11
7 12
7 13
7 14
7 15
7 16
8 9
8 10
8 12
8 13
8 14
8 15
8 16
9 11
9 12
9 13
9 14
9 15
9 16
10 13
10 14
10 15
11 13
11 14
12 13
12 14
12 15
12 16
13 15
13 16
15 16
